,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2025,SE,FT,Solutions Engineer,214000,USD,214000,US,100,US,M
4,2025,EN,FT,Data Engineer,90000,USD,90000,US,0,US,M
5,2025,EN,FT,Data Engineer,80000,USD,80000,US,0,US,M
8,2025,MI,FT,Data Scientist,135000,USD,135000,CA,0,CA,M
9,2025,MI,FT,Data Scientist,108000,USD,108000,CA,0,CA,M
10,2025,MI,FT,BI Developer,118000,USD,118000,US,100,US,M
11,2025,MI,FT,BI Developer,51000,USD,51000,US,100,US,M
13,2025,EN,FT,Data Analyst,54300,USD,54300,US,0,US,M
15,2025,SE,FT,Applied Scientist,190000,USD,190000,US,0,US,M
18,2025,EX,FT,Director,170000,USD,170000,US,0,US,M
19,2025,EX,FT,Director,160000,USD,160000,US,0,US,M
23,2025,MI,FT,Associate,110000,USD,110000,US,0,US,M
25,2025,MI,FT,Associate,110000,USD,110000,US,0,US,M
26,2025,MI,FT,Associate,120000,USD,120000,US,0,US,M
28,2025,SE,FT,Software Engineer,190000,USD,190000,US,0,US,M
31,2025,SE,FT,Consultant,130000,USD,130000,US,0,US,M
34,2025,EN,FT,Analyst,122058,USD,122058,AU,0,AU,M
35,2025,EN,FT,Analyst,110266,USD,110266,AU,0,AU,M
40,2025,SE,FT,Engineer,170000,USD,170000,US,0,US,M
41,2025,SE,FT,Engineer,130000,USD,130000,US,0,US,M
43,2025,SE,FT,Developer,114000,USD,114000,US,0,US,M
50,2025,EN,FT,Data Analyst,324000,MXN,15890,MX,0,MX,M
51,2025,EN,FT,Data Analyst,122870,USD,122870,US,0,US,M
52,2025,EN,FT,Data Analyst,94945,USD,94945,US,0,US,M
53,2025,EN,CT,Data Analyst,74000,USD,74000,US,0,US,M
55,2025,MI,FT,Consultant,72000,EUR,75789,NL,0,NL,M
57,2025,MI,FT,Data Specialist,32000,EUR,33684,ES,0,ES,M
58,2025,MI,FT,Data Specialist,28000,EUR,29473,ES,0,ES,M
